item,entry_time,exit_time,qty,entry_price,exit_price,pnl,return
KISMET_FEATHER,1750539136.0,1750539264.0,-23473158.530524764,-0.2762489914894104,-0.2833758592605591,154153.93417898566,0.02374916267671535
FOURTH_MASTER_STAR,1750539392.0,1750539392.0,7697931.875055933,1.347973108291626,1.3676319122314453,130427.59102626704,0.012556832582588969
PERFECT_TOPAZ_GEM,1750532352.0,1750532480.0,-178289339.35072118,-0.04101951695006317,-0.041394177824258804,66731.24170116149,0.009133722238897603
PERFECT_TOPAZ_GEM,1750536832.0,1750536960.0,-42073279.15458786,-0.033091768622398376,-0.03401085361838341,35845.69224533043,0.02572033100478224
WITHER_SHIELD_SCROLL,1750541952.0,1750542080.0,1519153.6322661673,5.448629856109619,5.468177795410156,13112.01499517262,0.0015825096157356386
THIRD_MASTER_STAR,1750534784.0,1750534912.0,2932840.344519266,0.7044222354888916,0.7102531790733337,12952.209460840328,0.006263084967078679
BOOSTER_COOKIE,1750540032.0,1750540160.0,-187161407.19683778,-0.028302211314439774,-0.028420474380254745,11517.984142740257,0.0021722296019921353
KISMET_FEATHER,1750535040.0,1750535168.0,-1351689.1305978703,-0.2758035659790039,-0.28334927558898926,9443.652844174823,0.025306334116642785
FIFTH_MASTER_STAR,1750531712.0,1750531712.0,115603.68857777481,1.625653624534607,1.7050707340240479,8795.866771679197,0.04675680822099287
PERFECT_JADE_GEM,1750533504.0,1750533504.0,-32349984.36921384,-0.0412515364587307,-0.04151718690991402,5916.221036219737,0.0044289023990336076
ENCHANTMENT_ICE_COLD_1,1750544128.0,1750544256.0,-4568475.33197945,-0.23726879060268402,-0.23835855722427368,2805.680122584803,0.002585783602033391
PERFECT_JADE_GEM,1750542080.0,1750542080.0,-64467789.118675746,-0.0400441437959671,-0.04016648977994919,2716.3728844271973,0.001051171361373231
SECOND_MASTER_STAR,1750534528.0,1750534528.0,5170714.903597124,0.2383691668510437,0.23921366035938263,1897.1905272002332,0.0015377162316491438
BOOSTER_COOKIE,1750536320.0,1750536448.0,-28229030.45341924,-0.029049186035990715,-0.029169190675020218,1744.166280591744,0.0021248284789887116
IMPLOSION_SCROLL,1750542080.0,1750542080.0,1041217.5060106067,5.4000959396362305,5.412023544311523,1161.462708924897,0.00020636130042541413
PERFECT_AMBER_GEM,1750538240.0,1750538240.0,-5855449.877791778,-0.03574793040752411,-0.03600120171904564,1062.8940231547458,0.005072764674461845
SECOND_MASTER_STAR,1750538240.0,1750538240.0,2283353.4586921856,0.23801909387111664,0.23894700407981873,1029.664794960525,0.0018926784814077024
THIRD_MASTER_STAR,1750533888.0,1750533888.0,3726045.7709573302,0.7032027840614319,0.7048289179801941,812.6588422483765,0.00030984566234200497
PERFECT_AMBER_GEM,1750532736.0,1750532736.0,-1122679.2544053223,-0.036863610148429864,-0.03713798522949219,224.95515551075368,0.00543010604675002
FIRST_MASTER_STAR,1750534400.0,1750534528.0,1398260.2028546394,0.009561571292579174,0.009648209437727928,94.28239850989303,0.007044972144621314
PERFECT_AMBER_GEM,1750532864.0,1750532992.0,-1717122.7931181313,-0.03740448132157326,-0.037518810480833054,67.66471319369157,0.0010524541329152862
