item,entry_time,exit_time,entry_price,exit_price,size,pnl,return,confidence,reason
SCORCHED_POWER_CRYSTAL,1754566528.0,1754594048.0,708205.9125,710815.065,1,2609.1524999999674,0.0036841721509914215,0.9218469,flip_down
SHARD_BURNINGSOUL,1754559872.0,1754565376.0,136383.27375,138972.89375,1,2589.6199999999953,0.018987812279289824,0.8148019,flip_down
FINE_AMBER_GEM,1754543360.0,1754602530.112,22829.623215,23686.15808,3,2569.6045950000043,0.037518572117179,0.8585328,final_close
WORM_MEMBRANE,1754536576.0,1754602530.112,31944.816434999997,32722.012775,3,2331.5890200000067,0.02432934124324707,0.8091274,final_close
SHARD_SHELLWISE,1754566784.0,1754596224.0,241012.90919999997,243092.40015,1,2079.490950000036,0.008628130986437783,0.8261503,flip_down
RUSTY_COIN,1754536320.0,1754562688.0,25356.679634999997,25554.729275,5,990.2482000000236,0.007810551020514353,0.88699067,flip_down
SUPERIOR_FRAGMENT,1754578048.0,1754602530.112,125776.01732999999,126578.71604999999,1,802.6987200000003,0.0063819696078780295,0.8701009,final_close
RED_GIFT,1754559232.0,1754602530.112,23967.67617,23978.333860000002,3,31.97307000001092,0.0004446693089647014,0.7816106,final_close
TREASURITE,1754534272.0,1754602530.112,40984.19145,40922.134135,1,-62.0573149999982,-0.001514176876606363,0.91043204,final_close
MITE_GEL,1754600064.0,1754602530.112,1785.6109364999998,1780.058781,47,-260.95130849999055,-0.003109387037515941,0.72565866,final_close
ENCHANTED_HUGE_MUSHROOM_2,1754541312.0,1754583168.0,51091.12972499999,50576.83704,1,-514.2926849999931,-0.010066183460185625,0.84899586,flip_down
ENCHANTED_COOKIE,1754591744.0,1754596736.0,63436.361789999995,62804.422885,1,-631.9389049999954,-0.009961777238927553,0.75514126,flip_down
ENCHANTMENT_ULTIMATE_WISE_1,1754600832.0,1754602530.112,123998.41754999998,123286.73467,1,-711.6828799999785,-0.0057394513096347055,0.75108194,final_close
GLACITE_JEWEL,1754520064.0,1754556288.0,59153.79347999999,58381.06581,1,-772.7276699999929,-0.013063028159998793,0.9767074,flip_down
ENCHANTMENT_ULTIMATE_WISE_1,1754560896.0,1754587648.0,127161.03194999999,126278.62405,1,-882.4078999999911,-0.006939294896151487,0.8125553,flip_down
ENCHANTED_CACTUS,1754558720.0,1754565632.0,106095.6993,105039.3242,1,-1056.3750999999902,-0.009956813584054394,0.8013604,flip_down
CORRUPTED_NETHER_STAR,1754600704.0,1754602530.112,115299.48929999999,114155.32515,1,-1144.1641499999823,-0.009923410389294608,0.7396575,final_close
FINE_CITRINE_GEM,1754596352.0,1754602530.112,21050.863665,20668.967839999998,3,-1145.6874750000097,-0.01814157514282696,0.75101995,final_close
SHARD_BURNINGSOUL,1754544384.0,1754549376.0,137841.32774999997,136492.91595,1,-1348.4117999999726,-0.009782347732789978,0.912412,flip_down
ENCHANTED_COOKED_FISH,1754600064.0,1754602530.112,151472.47439999998,149998.13055,1,-1474.3438499999756,-0.00973341100975621,0.75898844,final_close
HEMOGLASS,1754549120.0,1754602530.112,20981.47947,20583.5252,4,-1591.8170799999934,-0.018966930838647787,0.78905004,final_close
FOUL_FLESH,1754528512.0,1754602530.112,25250.153654999995,24629.936475000002,3,-1860.651539999977,-0.024562907159861102,0.8553239,final_close
BLUE_RING,1754594688.0,1754598400.0,449215.90499999997,447352.37810000003,1,-1863.526899999939,-0.004148399197931202,0.8850042,flip_down
SHARD_INVISIBUG,1754600960.0,1754602530.112,24595.451429999997,23996.053815,4,-2397.590459999992,-0.024370262798628296,0.7342657,final_close
SCORCHED_CRAB_STICK,1754566528.0,1754602530.112,146952.1653,144468.4081,1,-2483.7571999999927,-0.016901807434612826,0.7995361,final_close
SHARD_BURNINGSOUL,1754601472.0,1754602530.112,136311.83835,135069.6182,2,-2484.4403000000166,-0.009113076054410122,0.77743936,final_close
HOLY_FRAGMENT,1754555264.0,1754602530.112,10411.821104999999,10023.752385,7,-2716.481039999995,-0.03727193505213412,0.7724155,final_close
WHIPPED_MAGMA_CREAM,1754539520.0,1754602530.112,203068.79249999998,200131.56375,1,-2937.22874999998,-0.014464205522864773,0.88756984,final_close
ENCHANTED_TUNGSTEN,1754526208.0,1754531584.0,6082.3218074999995,5892.3345785,16,-3039.79566399999,-0.031235971231533592,0.8491847,flip_down
ENCHANTED_SULPHUR_CUBE,1754539520.0,1754602530.112,255259.66859999998,251964.53655,1,-3295.1320499999856,-0.01290894118946602,0.90943474,final_close
ENCHANTED_TUNGSTEN,1754561664.0,1754602530.112,5511.023527499999,5231.195983,14,-3917.5856229999863,-0.050775966225449776,0.79424715,final_close
EXPORTABLE_CARROTS,1754519680.0,1754558592.0,10198.414379999998,10166.87418,127,-4005.6053999997002,-0.003092657233250964,0.9001037,flip_down
GRIFFIN_FEATHER,1754519808.0,1754536192.0,187075.95614999998,185964.03735,4,-4447.67519999994,-0.005943675621833699,0.91571164,flip_down
EXPORTABLE_CARROTS,1754589440.0,1754602530.112,9992.71902,9436.465575,8,-4450.027560000002,-0.05566587471204612,0.7891111,final_close
PRECURSOR_GEAR,1754597120.0,1754602530.112,468520.88969999994,463858.30375,1,-4662.585949999921,-0.009951714112438904,0.8374518,final_close
FINE_AQUAMARINE_GEM,1754519808.0,1754602530.112,19324.89375,19152.70525,30,-5165.655000000006,-0.008910191291478652,0.9219885,final_close
AGATHA_COUPON,1754525952.0,1754602530.112,15416.627639999999,13996.478935,4,-5680.594819999998,-0.09211798703078748,0.96516234,final_close
DUNG,1754590720.0,1754602530.112,35417.95875,32401.99789,2,-6031.9217199999985,-0.08515343533172982,0.7926378,final_close
ENCHANTMENT_ULTIMATE_WISDOM_1,1754564992.0,1754602530.112,174385.46939999997,168295.0164,1,-6090.4529999999795,-0.03492523213634209,0.86563355,final_close
ENCHANTMENT_ULTIMATE_SWARM_1,1754586752.0,1754602530.112,648061.5869999999,640650.5505,1,-7411.036499999929,-0.011435697854438532,0.9417106,final_close
DUNGEON_TRAP,1754599808.0,1754602530.112,1.2227500334999999,1.0945,61438,-7879.425558172991,-0.1048865507964019,0.74558485,final_close
ENCHANTMENT_PESTERMINATOR_1,1754526208.0,1754598528.0,112054.13324999998,103948.09775,1,-8106.035499999984,-0.07234035251439495,0.91609776,flip_down
RUSTY_COIN,1754591616.0,1754599680.0,48487.084275,44307.61467,2,-8358.939209999997,-0.08619758575903765,0.7743257,flip_down
SHARD_POWER_DRAGON,1754549248.0,1754556416.0,744992.0279999999,734884.5528,1,-10107.475199999986,-0.013567225983792657,0.92003536,flip_down
FTX_3070,1754525824.0,1754602530.112,153649.98779999997,147371.3405,2,-12557.294599999965,-0.04086331141251144,0.97865707,final_close
SHARD_HIDEONLEAF,1754536192.0,1754589440.0,83570.66445,79115.380275,3,-13365.85252499998,-0.05331158013785534,0.90694124,flip_down
STOCK_OF_STONKS,1754591872.0,1754602530.112,1374985.2225,1360173.4575,1,-14811.764999999898,-0.010772308500210007,0.89346117,final_close
CHEESE_FUEL,1754556416.0,1754602530.112,7673.51268,6385.8983585,12,-15451.371858000002,-0.1677998558412495,0.7689946,final_close
REFINED_TUNGSTEN,1754588288.0,1754602530.112,1067538.5369999998,1050218.52,1,-17320.01699999976,-0.016224254581640236,0.9270848,final_close
ENCHANTED_RABBIT,1754551680.0,1754602530.112,7901.4895934999995,5195.731795000001,10,-27057.57798499999,-0.3424364186628602,0.80665874,final_close
KISMET_FEATHER,1754591744.0,1754602530.112,1361862.5355,1347271.6904999998,2,-29181.69000000041,-0.010713889705941034,0.9133644,final_close
REFINED_UMBER,1754550784.0,1754602530.112,1587166.5509999997,1568204.575,2,-37923.95199999958,-0.011947061250788541,0.9685144,final_close
ENCHANTED_LAPIS_LAZULI_BLOCK,1754567424.0,1754575104.0,94111.04414999999,92184.36200000001,25,-48167.05374999947,-0.02047243410591762,0.9943825,flip_down
MITE_GEL,1754519936.0,1754556416.0,2369.44629,1694.8235985000001,76,-51271.32455399998,-0.2847174440489216,0.9499692,flip_down
SHARD_DRACONIC,1754519680.0,1754602530.112,224761.82804999995,201354.0108,3,-70223.45174999989,-0.10414498517422949,0.884174,final_close
ENCHANTMENT_GREEN_THUMB_1,1754550656.0,1754602530.112,4740809.6175,4658256.675,1,-82552.94249999989,-0.017413258316737266,0.95332956,final_close
SHARD_CHAMELEON,1754519552.0,1754523648.0,2223722.496,2135174.679,1,-88547.8169999998,-0.03981963449093956,0.9128306,flip_down
GLACITE_AMALGAMATION,1754601728.0,1754602530.112,720586.7587499999,689878.076,3,-92126.04824999976,-0.042616218487375755,0.90497714,final_close
ELECTRON_TRANSMITTER,1754519424.0,1754602530.112,111008.81264999999,109937.03658,94,-100746.9505799993,-0.009654873738530998,0.9377609,final_close
CONDENSED_FERMENTO,1754556416.0,1754602530.112,2318028.9825,2195759.234,1,-122269.74849999975,-0.05274729066076281,0.9766187,final_close
SYNTHETIC_HEART,1754519424.0,1754602530.112,149751.3717,144489.96975,33,-173626.26434999998,-0.03513424879032343,0.8663589,final_close
ALLIGATOR_SKIN,1754550400.0,1754595328.0,425718.80399999995,368747.5572,4,-227884.98719999986,-0.13382365604879407,0.75273913,flip_down
ENCHANTED_SULPHUR_CUBE,1754525696.0,1754526208.0,1047617.4269999999,621766.346,1,-425851.0809999999,-0.40649484251086243,0.9730314,flip_down
MOLTEN_POWDER,1754538112.0,1754539392.0,633198.24,353330.0322,2,-559736.4156,-0.4419914493129355,0.9957742,flip_down
RITUAL_RESIDUE,1754519168.0,1754602530.112,2157543.246,1949942.892,10,-2076003.5399999982,-0.09622071510496148,0.8013387,final_close
AGARIMOO_TONGUE,1754519296.0,1754602530.112,8733.86205,8346.245069999999,6603,-2559434.9189400044,-0.044380936838818136,0.9648336,final_close
